"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Image Src","Image Position","Image Alt Text","Status"
"reflex-kitten-chicken","Reflex Plus Kitten — Chicken","<p>Our #1 seller. High-protein chicken recipe built for growing kittens — hypoallergenic, gentle on tummies, and irresistible from the very first bowl.</p><h4>Why cats love it</h4><ul><li>Real chicken protein is the #1 ingredient</li><li>37% protein for healthy growth</li><li>Hypoallergenic — no artificial colours or flavours</li><li>Prebiotics (MOS) &amp; yucca for easy digestion</li><li>Taurine &amp; full vitamin/mineral blend</li></ul><h4>Ingredients</h4><p>Processed Chicken Protein (40%), Corn, Rice, Chicken Fat, Corn Gluten, Dried Beet Pulp, Wheat Bran, Liver Aroma, Vitamins and Minerals, Salt, Flax Seed, Brewer's Yeast, Taurine, MOS (Mannan Oligosaccharides), Whey Powder, Yucca Schidigera, Preservatives - Antioxidants.</p><h4>Guaranteed analysis</h4><table><tbody><tr><td>Crude Protein</td><td><strong>37%</strong></td></tr><tr><td>Crude Fat</td><td><strong>20%</strong></td></tr><tr><td>Crude Fibre</td><td><strong>3%</strong></td></tr><tr><td>Crude Ash</td><td><strong>8%</strong></td></tr></tbody></table><h4>Added vitamins &amp; minerals</h4><table><tbody><tr><td>Vitamin A</td><td><strong>18,000 IU/kg</strong></td></tr><tr><td>Vitamin D3</td><td><strong>1,500 IU/kg</strong></td></tr><tr><td>Vitamin E</td><td><strong>200 mg/kg</strong></td></tr><tr><td>Vitamin C</td><td><strong>400 mg/kg</strong></td></tr><tr><td>Vitamin K3</td><td><strong>0.2 mg/kg</strong></td></tr><tr><td>Taurine</td><td><strong>1,500 mg/kg</strong></td></tr><tr><td>Choline</td><td><strong>2,500 mg/kg</strong></td></tr><tr><td>Zinc</td><td><strong>140 mg/kg</strong></td></tr><tr><td>Iron</td><td><strong>200 mg/kg</strong></td></tr><tr><td>Manganese</td><td><strong>50 mg/kg</strong></td></tr><tr><td>Copper</td><td><strong>13 mg/kg</strong></td></tr><tr><td>Iodine</td><td><strong>1.5 mg/kg</strong></td></tr><tr><td>Selenium</td><td><strong>0.3 mg/kg</strong></td></tr></tbody></table><h4>Feeding guide</h4><p>Feed to your cat's weight and activity level, split across two meals, with fresh water always available. See the back of the pack for the exact daily gram chart.</p>","Reflex Plus","Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food","Kitten food","Reflex Plus, Kitten food, Cat Food, Bestseller","TRUE","Size","1.5 kg","reflex-kitten-chicken-15kg","1500","","0","deny","manual","840","990","TRUE","TRUE","https://z-uni-account.github.io/meow-belle/images/products/reflex-kitten-chicken.png","1","Reflex Plus Kitten — Chicken","active"
"reflex-kitten-chicken","","","","","","","","Size","8 kg","reflex-kitten-chicken-8kg","8000","","0","deny","manual","3800","4500","TRUE","TRUE","","","",""
"reflex-kitten-chicken","","","","","","","","Size","15 kg","reflex-kitten-chicken-15kg","15000","","0","deny","manual","6100","7200","TRUE","TRUE","","","",""
"reflex-adult-chicken","Reflex Plus Adult — Chicken","<p>The everyday bowl for adult cats. Real chicken, complete and balanced nutrition, and a crunch they come running for — now from a ৳240 trial pack.</p><h4>Why cats love it</h4><ul><li>Real chicken protein is the #1 ingredient</li><li>33% protein, complete &amp; balanced</li><li>Hypoallergenic recipe</li><li>XOS prebiotics &amp; yucca for digestion</li><li>Taurine for a healthy heart</li></ul><h4>Ingredients</h4><p>Processed Chicken Protein (38%), Corn, Chicken Fat, Rice, Hydrolyzed Animal Protein, Beet Pulp, Liver Aroma, Vitamins and Minerals, Flaxseed, Xylo-oligosaccharides (XOS), Brewer's Yeast, Salt, Yucca Schidigera, Taurine, Preservatives - Antioxidants.</p><h4>Guaranteed analysis</h4><table><tbody><tr><td>Crude Protein</td><td><strong>33%</strong></td></tr><tr><td>Crude Fat</td><td><strong>14%</strong></td></tr><tr><td>Crude Fibre</td><td><strong>2%</strong></td></tr><tr><td>Crude Ash</td><td><strong>8%</strong></td></tr></tbody></table><h4>Added vitamins &amp; minerals</h4><table><tbody><tr><td>Vitamin A</td><td><strong>18,000 IU/kg</strong></td></tr><tr><td>Vitamin D3</td><td><strong>1,500 IU/kg</strong></td></tr><tr><td>Vitamin E</td><td><strong>200 mg/kg</strong></td></tr><tr><td>Vitamin C</td><td><strong>400 mg/kg</strong></td></tr><tr><td>Taurine</td><td><strong>1,500 mg/kg</strong></td></tr></tbody></table><h4>Feeding guide</h4><p>Feed to your cat's weight and activity level, split across two meals, with fresh water always available. See the back of the pack for the exact daily gram chart.</p>","Reflex Plus","Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food","Adult food","Reflex Plus, Adult food, Cat Food, Bestseller","TRUE","Size","400 g","reflex-adult-chicken-400g","400","","0","deny","manual","240","290","TRUE","TRUE","https://z-uni-account.github.io/meow-belle/images/products/reflex-adult-chicken.png","1","Reflex Plus Adult — Chicken","active"
"reflex-adult-chicken","","","","","","","","Size","1.5 kg","reflex-adult-chicken-15kg","1500","","0","deny","manual","840","990","TRUE","TRUE","","","",""
"reflex-adult-chicken","","","","","","","","Size","15 kg","reflex-adult-chicken-15kg","15000","","0","deny","manual","6100","7200","TRUE","TRUE","","","",""
"reflex-adult-urinary-chicken","Reflex Plus Adult — Urinary Chicken","<p>Formulated to support a healthy urinary tract with balanced minerals — for cats prone to urinary trouble.</p><h4>Why cats love it</h4><ul><li>Supports urinary-tract health</li><li>34% protein, real chicken</li><li>Balanced minerals</li><li>Flaxseed &amp; XOS for digestion</li><li>Taurine for a healthy heart</li></ul><h4>Ingredients</h4><p>Processed Chicken Protein, Corn, Chicken Fat, Rice, Sugar Beet, Liver Flavor, Vitamins and Minerals, Flaxseed, Xylo-Oligosaccharide, Brewer's Yeast, Salt, Yucca Schidigera, Preservatives - Antioxidants.</p><h4>Guaranteed analysis</h4><table><tbody><tr><td>Crude Protein</td><td><strong>34%</strong></td></tr><tr><td>Crude Fat</td><td><strong>14%</strong></td></tr><tr><td>Crude Fibre</td><td><strong>4%</strong></td></tr><tr><td>Crude Ash</td><td><strong>7%</strong></td></tr></tbody></table><h4>Added vitamins &amp; minerals</h4><table><tbody><tr><td>Vitamin A</td><td><strong>18,000 IU/kg</strong></td></tr><tr><td>Vitamin D3</td><td><strong>1,500 IU/kg</strong></td></tr><tr><td>Vitamin E</td><td><strong>200 mg/kg</strong></td></tr><tr><td>Vitamin C</td><td><strong>200 mg/kg</strong></td></tr><tr><td>Taurine</td><td><strong>1,500 mg/kg</strong></td></tr></tbody></table><h4>Feeding guide</h4><p>Feed to your cat's weight and activity level, split across two meals, with fresh water always available. See the back of the pack for the exact daily gram chart.</p>","Reflex Plus","Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food","Urinary care","Reflex Plus, Urinary care, Cat Food","TRUE","Size","1.5 kg","reflex-adult-urinary-chicken-15kg","1500","","0","deny","manual","840","990","TRUE","TRUE","https://z-uni-account.github.io/meow-belle/images/products/reflex-adult-urinary-chicken.png","1","Reflex Plus Adult — Urinary Chicken","active"
"reflex-adult-urinary-chicken","","","","","","","","Size","15 kg","reflex-adult-urinary-chicken-15kg","15000","","0","deny","manual","6100","7200","TRUE","TRUE","","","",""
"reflex-adult-hairball-salmon","Reflex Plus Adult — Hairball Salmon","<p>Made for indoor cats — natural fibres and psyllium help move hairballs through, while real salmon keeps the coat glossy.</p><h4>Why cats love it</h4><ul><li>Sugar-cane fibre &amp; psyllium reduce hairballs</li><li>Real salmon for a glossy coat</li><li>Perfect for indoor cats</li><li>34% protein</li><li>L-carnitine to help manage weight</li></ul><h4>Ingredients</h4><p>Processed Salmon Protein, Processed Animal Protein, Corn, Chicken Fat, Rice, Sugar Cane Fiber, Sugar Beet, Fish Flavor, Vitamins and Minerals, Salmon Oil, Xylo-Oligosaccharide, Brewer's Yeast, Psyllium, Salt, Yucca Schidigera, L-Carnitine, Preservatives - Antioxidants.</p><h4>Guaranteed analysis</h4><table><tbody><tr><td>Crude Protein</td><td><strong>34%</strong></td></tr><tr><td>Crude Fat</td><td><strong>14%</strong></td></tr><tr><td>Crude Fibre</td><td><strong>5%</strong></td></tr><tr><td>Crude Ash</td><td><strong>8%</strong></td></tr></tbody></table><h4>Added vitamins &amp; minerals</h4><table><tbody><tr><td>Vitamin A</td><td><strong>18,000 IU/kg</strong></td></tr><tr><td>Vitamin D3</td><td><strong>1,500 IU/kg</strong></td></tr><tr><td>Vitamin E</td><td><strong>200 mg/kg</strong></td></tr><tr><td>Vitamin C</td><td><strong>400 mg/kg</strong></td></tr><tr><td>Taurine</td><td><strong>1,500 mg/kg</strong></td></tr></tbody></table><h4>Feeding guide</h4><p>By body weight (normal condition), roughly 29–32 g/day for a 2 kg cat up to 96–106 g/day for a 10 kg cat, split across two meals with fresh water always available.</p>","Reflex Plus","Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food","Hairball control","Reflex Plus, Hairball control, Cat Food","TRUE","Size","1.5 kg","reflex-adult-hairball-salmon-15kg","1500","","0","deny","manual","840","990","TRUE","TRUE","https://z-uni-account.github.io/meow-belle/images/products/reflex-adult-hairball-salmon.png","1","Reflex Plus Adult — Hairball Salmon","active"
"reflex-adult-hairball-salmon","","","","","","","","Size","15 kg","reflex-adult-hairball-salmon-15kg","15000","","0","deny","manual","6100","7200","TRUE","TRUE","","","",""
